OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
176,340390341003,82,22,60,16,6,0,0,0,0,21,0,0,1,0,0,8,13,442,3,5,551064.44921875,4172.16865916066
177,340390344005,60,11,49,7,3,0,0,0,1,8,0,0,2,1,0,3,5,358,1,3.1,495543.99609375,3406.49965609655
178,340170059002,106,30,76,5,20,3,0,1,1,23,1,0,5,1,0,20,4,583,2,5.2,219238.21484375,2961.47839487712
179,340170059003,163,36,127,4,16,13,1,2,0,22,2,0,6,6,0,21,3,735,3,4.9,225242.95703125,2695.66890058797
180,340390354003,171,101,70,11,9,35,11,18,17,80,0,0,18,3,0,53,27,451,1,22.4,24943127.78125,35470.1852394645
181,340390355004,95,14,81,2,5,5,1,1,0,10,0,0,2,2,0,4,6,485,0,2.9,543002.62109375,3354.86875629041
182,340390342001,132,14,118,12,2,0,0,0,0,13,0,0,1,0,0,4,9,588,1,2.4,738125.796875,4402.89818793656
183,340390340002,113,14,99,7,7,0,0,0,0,12,0,0,2,0,0,6,6,657,0,2.1,716966.96875,4304.93811749014
184,340390327002,43,10,33,7,3,0,0,0,0,10,0,0,0,0,0,2,8,245,0,4.1,296291.59765625,2558.6026241717
185,340390332003,51,11,40,9,1,1,0,0,0,11,0,0,0,0,0,2,9,439,1,2.5,1882511.80859375,6237.59422770305
186,340170101004,85,13,72,6,7,0,0,0,0,8,0,0,4,1,0,3,5,498,1,2.6,165404.953125,1680.56294421443
