ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT\
6066,9,13,530600,9013530600,2698,1102,17444640,16690119,29219,13911,46837328,45866666,2698,1102,17444640,16690119,9.23,7.92,37.25,36.39,100,100,100,100\
6066,9,13,535100,9013535100,7,3,11591,11591,29219,13911,46837328,45866666,9161,4132,45029835,45004208,0.02,0.02,0.02,0.03,0.08,0.07,0.03,.03\
6066,9,13,535200,9013535200,33,12,14567,14567,29219,13911,46837328,45866666,6441,2533,44566270,43211028,0.11,0.09,0.03,0.03,0.51,0.47,0.03,.03\
6067,9,3,490100,9003490100,5316,2698,12117527,11165096,19709,8843,35844010,34846672,5316,2698,12117527,11165096,26.97,30.51,33.81,32.04,100,100,100,100\
6067,9,3,490302,9003490302,8249,3717,12108318,12108318,19709,8843,35844010,34846672,8249,3717,12108318,12108318,41.85,42.03,33.78,34.75,100,100,100,100\
6067,9,3,524200,9003524200,6144,2428,11618165,11573258,19709,8843,35844010,34846672,6144,2428,11618165,11573258,31.17,27.46,32.41,33.21,100,100,100,100\
6068,9,5,260200,9005260200,10,4,116923,116923,1612,1167,85358750,80533460,3315,1587,50433417,50417654,0.62,0.34,0.14,0.15,0.3,0.25,0.23,.23\
6068,9,5,261100,9005261100,1602,1163,85241827,80416537,1612,1167,85358750,80533460,3741,2593,155595942,148255546,99.38,99.66,99.86,99.85,42.82,44.85,54.78,54.24\
6069,9,5,262100,9005262100,2535,1588,131661298,129705604,2535,1588,131661298,129705604,2782,1775,154259150,152201143,100,100,100,100,91.12,89.46,85.35,85.22\
6070,9,3,466101,9003466101,2020,980,7785870,7735006,15104,5792,56801286,56199044,4200,1800,13972144,13869645,13.37,16.92,13.71,13.76,48.1,54.44,55.72,55.77\
6070,9,3,466102,9003466102,2775,945,5438360,5438360,15104,5792,56801286,56199044,4978,1854,11061699,11031929,18.37,16.32,9.57,9.68,55.75,50.97,49.16,49.3\
6070,9,3,466201,9003466201,2318,946,8209165,8087654,15104,5792,56801286,56199044,2318,946,8209165,8087654,15.35,16.33,14.45,14.39,100,100,100,100\
